"timestamp (abs)","sample rate (Hz)","Channel-7","Channel-6","Channel-5","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
15193,20000,1,1,1,1,1,1,1,1
15373,20000,1,1,0,1,1,1,1,1
15380,20000,0,1,0,1,1,1,1,1
15381,20000,0,0,0,1,1,1,1,1
15393,20000,0,0,0,0,1,1,1,1
15514,20000,0,0,0,1,1,1,1,1
15522,20000,1,0,0,1,1,1,1,1
15525,20000,1,1,0,1,1,1,1,1
15528,20000,1,1,1,1,1,1,1,1
15706,20000,1,1,0,1,1,1,1,1
15711,20000,0,0,0,1,1,1,1,1
15713,20000,0,0,0,0,1,0,0,0
15863,20000,1,0,0,0,1,0,0,0
15868,20000,1,1,0,0,1,0,0,0
15883,20000,1,1,1,0,1,0,0,0
15884,20000,1,1,1,1,1,0,0,0
16017,20000,1,1,0,1,1,0,0,0
16019,20000,1,1,0,0,1,0,0,0
16032,20000,1,0,0,0,1,0,0,0
16034,20000,0,0,0,0,1,0,0,0
16196,20000,1,0,0,0,1,0,0,0
16200,20000,1,1,0,0,1,0,0,0
16216,20000,1,1,1,1,1,0,0,0
16351,20000,1,1,0,1,1,0,0,0
16353,20000,1,1,0,0,1,0,0,0
16366,20000,1,0,0,0,1,0,0,0
16367,20000,0,0,0,0,1,0,0,0
16529,20000,1,0,0,0,1,0,0,0
16533,20000,1,1,0,0,1,0,0,0
16548,20000,1,1,1,1,1,0,0,0
16684,20000,1,1,0,1,1,0,0,0
16687,20000,1,1,0,0,1,0,0,0
16699,20000,1,0,0,0,1,0,0,0
16701,20000,0,0,0,0,1,0,0,0
16713,20000,1,0,0,1,1,1,1,1
16714,20000,0,0,0,1,1,1,1,1
16728,20000,0,0,0,0,1,1,1,1
16846,20000,0,0,0,1,1,1,1,1
16852,20000,1,0,0,1,1,1,1,1
16856,20000,1,1,0,1,1,1,1,1
16859,20000,1,1,1,1,1,1,1,1
17039,20000,1,1,0,1,1,1,1,1
17046,20000,0,1,0,1,1,1,1,1
17047,20000,0,0,0,1,1,1,1,1
17060,20000,0,0,0,0,1,1,1,1
17180,20000,0,0,0,1,1,1,1,1
17187,20000,1,0,0,1,1,1,1,1
17190,20000,1,1,0,1,1,1,1,1
17193,20000,1,1,1,1,1,1,1,1
17372,20000,1,1,0,1,1,1,1,1
17378,20000,0,1,0,1,1,1,1,1
17379,20000,0,0,0,1,1,1,1,1
17392,20000,0,0,0,0,1,1,1,1
17515,20000,0,0,0,1,1,1,1,1
17521,20000,1,0,0,1,1,1,1,1
17524,20000,1,1,0,1,1,1,1,1
17527,20000,1,1,1,1,1,1,1,1
17633,20000,1,1,1,1,1,0,0,1
17682,20000,1,1,0,1,1,0,0,0
17683,20000,1,1,0,0,1,0,0,0
17695,20000,1,0,0,0,1,0,0,0
17697,20000,0,0,0,0,1,0,0,0
17833,20000,0,0,0,0,1,1,0,0
17852,20000,0,0,0,1,1,1,0,0
17854,20000,1,0,0,1,1,1,0,0
17858,20000,1,1,0,1,1,1,0,0
17862,20000,1,1,1,1,1,1,1,1
18039,20000,1,1,0,1,1,1,1,1
18045,20000,0,1,0,1,1,1,1,1
18046,20000,0,0,0,1,1,1,1,1
18059,20000,0,0,0,0,1,1,1,1
18179,20000,0,0,0,1,1,1,1,1
18187,20000,1,0,0,1,1,1,1,1
18189,20000,1,1,0,1,1,1,1,1
18192,20000,1,1,1,1,1,1,1,1
18371,20000,1,1,0,1,1,1,1,1
18377,20000,0,1,0,1,1,1,1,1
18378,20000,0,0,0,1,1,1,1,1
18391,20000,0,0,0,0,1,1,1,1
18513,20000,0,0,0,1,1,1,1,1
18521,20000,1,0,0,1,1,1,1,1
18523,20000,1,1,0,1,1,1,1,1
