"timestamp (abs)","sample rate (Hz)","Channel-7","Channel-6","Channel-5","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
11166,10000,0,0,0,1,1,1,1,1
11168,10000,1,0,0,1,1,1,1,1
11169,10000,1,1,0,1,1,1,1,1
11171,10000,1,1,1,1,1,1,1,1
11263,10000,1,0,0,1,1,1,1,1
11269,10000,0,0,0,1,1,1,1,1
11270,10000,0,0,0,0,1,1,1,1
11314,10000,0,0,0,0,1,0,0,0
11341,10000,1,0,0,0,1,0,0,0
11342,10000,1,1,0,0,1,0,0,0
11347,10000,1,1,1,1,1,0,0,0
11419,10000,1,1,0,1,1,0,0,0
11421,10000,1,1,0,0,1,0,0,0
11423,10000,1,0,0,0,1,0,0,0
11429,10000,0,0,0,0,1,0,0,0
11504,10000,1,0,0,0,1,0,0,0
11506,10000,1,1,0,0,1,0,0,0
11511,10000,1,1,1,1,1,0,0,0
11588,10000,1,1,0,1,1,0,0,0
11589,10000,1,1,0,0,1,0,0,0
11593,10000,1,0,0,0,1,0,0,0
11600,10000,0,0,0,0,1,0,0,0
11670,10000,1,0,0,0,1,0,0,0
11672,10000,1,1,0,0,1,0,0,0
11677,10000,1,1,1,1,1,0,0,0
11694,10000,1,1,1,1,1,1,0,0
11698,10000,1,1,1,1,1,1,1,1
11765,10000,1,1,0,1,1,1,1,1
11768,10000,1,0,0,1,1,1,1,1
11772,10000,1,0,0,0,1,1,1,1
11773,10000,0,0,0,0,1,1,1,1
11831,10000,0,0,0,1,1,1,1,1
11833,10000,1,1,0,1,1,1,1,1
11835,10000,1,1,1,1,1,1,1,1
11844,10000,1,1,1,1,1,0,0,1
11848,10000,1,1,1,1,1,0,0,0
11921,10000,1,1,0,1,1,0,0,0
11922,10000,1,1,0,0,1,0,0,0
11925,10000,1,0,0,0,1,0,0,0
11932,10000,0,0,0,0,1,0,0,0
11984,10000,0,0,0,0,1,1,0,0
11988,10000,0,0,0,0,1,1,1,1
11998,10000,1,0,0,1,1,1,1,1
11999,10000,1,1,0,1,1,1,1,1
12001,10000,1,1,1,1,1,1,1,1
12099,10000,1,1,0,1,1,1,1,1
12101,10000,1,0,0,1,1,1,1,1
12105,10000,1,0,0,0,1,1,1,1
12106,10000,0,0,0,0,1,1,1,1
12165,10000,0,0,0,1,1,1,1,1
12166,10000,1,1,0,1,1,1,1,1
12168,10000,1,1,1,1,1,1,1,1
12264,10000,1,1,0,1,1,1,1,1
12266,10000,1,0,0,1,1,1,1,1
12271,10000,0,0,0,0,1,1,1,1
12332,10000,0,0,0,1,1,1,1,1
12334,10000,1,1,0,1,1,1,1,1
12336,10000,1,1,1,1,1,1,1,1
12430,10000,1,1,0,1,1,1,1,1
12431,10000,1,0,0,1,1,1,1,1
12436,10000,1,0,0,0,1,1,1,1
12437,10000,0,0,0,0,1,1,1,1
12454,10000,0,0,0,0,1,0,0,1
12458,10000,0,0,0,0,1,0,0,0
12504,10000,1,0,0,0,1,0,0,0
12506,10000,1,1,0,0,1,0,0,0
12511,10000,1,1,1,1,1,0,0,0
12584,10000,1,1,1,1,1,1,0,0
12588,10000,1,1,1,1,1,1,1,1
12597,10000,1,1,0,1,1,1,1,1
12599,10000,1,0,0,1,1,1,1,1
12604,10000,1,0,0,0,1,1,1,1
12606,10000,0,0,0,0,1,1,1,1
12665,10000,0,0,0,1,1,1,1,1
12666,10000,1,1,0,1,1,1,1,1
12669,10000,1,1,1,1,1,1,1,1
12764,10000,1,1,0,1,1,1,1,1
12765,10000,1,0,0,1,1,1,1,1
12771,10000,0,0,0,0,1,1,1,1
12832,10000,0,0,0,1,1,1,1,1
12833,10000,1,0,0,1,1,1,1,1
12834,10000,1,1,0,1,1,1,1,1
12836,10000,1,1,1,1,1,1,1,1
12929,10000,1,1,0,1,1,1,1,1
12931,10000,1,0,0,1,1,1,1,1
12936,10000,1,0,0,0,1,1,1,1
12937,10000,0,0,0,0,1,1,1,1
12999,10000,0,0,0,1,1,1,1,1
13001,10000,1,0,0,1,1,1,1,1
13002,10000,1,1,0,1,1,1,1,1
13003,10000,1,1,1,1,1,1,1,1
13024,10000,1,1,1,1,1,0,0,0
13086,10000,1,1,0,1,1,0,0,0
13087,10000,1,1,0,0,1,0,0,0
